,0
OR.districts.Balangir.delta21_14.confirmed,17
OR.districts.Balangir.delta7.confirmed,4
OR.districts.Balangir.delta7.recovered,15
OR.districts.Balangir.delta7.vaccinated1,20119
OR.districts.Balangir.delta7.vaccinated2,39059
OR.districts.Balangir.meta.population,1648574
OR.districts.Balangir.meta.tested.date,2020-10-11
OR.districts.Balangir.total.confirmed,23397
OR.districts.Balangir.total.deceased,126
OR.districts.Balangir.total.recovered,23257
OR.districts.Balangir.total.tested,87867
OR.districts.Balangir.total.vaccinated1,960786
OR.districts.Balangir.total.vaccinated2,299153
OR.districts.Balasore.delta.confirmed,5
OR.districts.Balasore.delta.recovered,14
OR.districts.Balasore.delta.vaccinated1,929
OR.districts.Balasore.delta.vaccinated2,519
OR.districts.Balasore.delta21_14.confirmed,94
OR.districts.Balasore.delta7.confirmed,67
OR.districts.Balasore.delta7.deceased,1
OR.districts.Balasore.delta7.recovered,80
OR.districts.Balasore.delta7.vaccinated1,78274
OR.districts.Balasore.delta7.vaccinated2,35314
OR.districts.Balasore.meta.population,2317419
OR.districts.Balasore.meta.tested.date,2020-05-17
OR.districts.Balasore.total.confirmed,40787
OR.districts.Balasore.total.deceased,299
OR.districts.Balasore.total.recovered,40389
OR.districts.Balasore.total.tested,9843
OR.districts.Balasore.total.vaccinated1,1351099
OR.districts.Balasore.total.vaccinated2,534318
OR.districts.Bargarh.delta.recovered,1
OR.districts.Bargarh.delta.vaccinated1,169
OR.districts.Bargarh.delta.vaccinated2,30
OR.districts.Bargarh.delta21_14.confirmed,18
OR.districts.Bargarh.delta7.confirmed,18
OR.districts.Bargarh.delta7.recovered,16
OR.districts.Bargarh.delta7.vaccinated1,52192
OR.districts.Bargarh.delta7.vaccinated2,32028
OR.districts.Bargarh.meta.population,1478833
OR.districts.Bargarh.total.confirmed,31126
OR.districts.Bargarh.total.deceased,335
OR.districts.Bargarh.total.recovered,30762
OR.districts.Bargarh.total.vaccinated1,829092
OR.districts.Bargarh.total.vaccinated2,283966
OR.districts.Bhadrak.delta.confirmed,3
OR.districts.Bhadrak.delta.recovered,7
OR.districts.Bhadrak.delta.vaccinated2,17
OR.districts.Bhadrak.delta21_14.confirmed,32
OR.districts.Bhadrak.delta7.confirmed,44
OR.districts.Bhadrak.delta7.deceased,1
OR.districts.Bhadrak.delta7.recovered,39
OR.districts.Bhadrak.delta7.vaccinated1,14511
OR.districts.Bhadrak.delta7.vaccinated2,38206
OR.districts.Bhadrak.meta.population,1506522
OR.districts.Bhadrak.meta.tested.date,2021-01-31
OR.districts.Bhadrak.total.confirmed,26480
OR.districts.Bhadrak.total.deceased,150
OR.districts.Bhadrak.total.recovered,26260
OR.districts.Bhadrak.total.tested,258173
OR.districts.Bhadrak.total.vaccinated1,1026493
OR.districts.Bhadrak.total.vaccinated2,367945
OR.districts.Boudh.delta.vaccinated1,496
OR.districts.Boudh.delta.vaccinated2,1585
OR.districts.Boudh.delta21_14.confirmed,3
OR.districts.Boudh.delta7.recovered,4
OR.districts.Boudh.delta7.vaccinated1,7009
OR.districts.Boudh.delta7.vaccinated2,16754
OR.districts.Boudh.meta.population,439917
OR.districts.Boudh.meta.tested.date,2020-05-17
OR.districts.Boudh.total.confirmed,12634
OR.districts.Boudh.total.deceased,112
OR.districts.Boudh.total.recovered,12488
OR.districts.Boudh.total.tested,496
OR.districts.Boudh.total.vaccinated1,259325
OR.districts.Boudh.total.vaccinated2,92297
OR.districts.Cuttack.delta.confirmed,54
OR.districts.Cuttack.delta.recovered,29
OR.districts.Cuttack.delta.vaccinated1,2729
OR.districts.Cuttack.delta.vaccinated2,1129
OR.districts.Cuttack.delta21_14.confirmed,326
OR.districts.Cuttack.delta7.confirmed,277
OR.districts.Cuttack.delta7.deceased,1
OR.districts.Cuttack.delta7.recovered,304
OR.districts.Cuttack.delta7.vaccinated1,75381
OR.districts.Cuttack.delta7.vaccinated2,45717
OR.districts.Cuttack.meta.population,2618708
OR.districts.Cuttack.meta.tested.date,2020-05-17
OR.districts.Cuttack.total.confirmed,94631
OR.districts.Cuttack.total.deceased,857
OR.districts.Cuttack.total.recovered,93404
OR.districts.Cuttack.total.tested,5720
OR.districts.Cuttack.total.vaccinated1,1434524
OR.districts.Cuttack.total.vaccinated2,702278
OR.districts.Deogarh.delta.confirmed,2
OR.districts.Deogarh.delta.recovered,3
OR.districts.Deogarh.delta.vaccinated1,1
OR.districts.Deogarh.delta.vaccinated2,136
OR.districts.Deogarh.delta21_14.confirmed,4
OR.districts.Deogarh.delta7.confirmed,41
OR.districts.Deogarh.delta7.recovered,10
OR.districts.Deogarh.delta7.vaccinated1,1126
OR.districts.Deogarh.delta7.vaccinated2,4779
OR.districts.Deogarh.meta.population,312164
OR.districts.Deogarh.meta.tested.date,2020-05-17
OR.districts.Deogarh.total.confirmed,6553
OR.districts.Deogarh.total.deceased,50
OR.districts.Deogarh.total.recovered,6460
OR.districts.Deogarh.total.tested,682
OR.districts.Deogarh.total.vaccinated1,223405
OR.districts.Deogarh.total.vaccinated2,63727
OR.districts.Dhenkanal.delta.confirmed,5
OR.districts.Dhenkanal.delta.vaccinated1,92
OR.districts.Dhenkanal.delta.vaccinated2,104
OR.districts.Dhenkanal.delta21_14.confirmed,14
OR.districts.Dhenkanal.delta7.confirmed,25
OR.districts.Dhenkanal.delta7.recovered,16
OR.districts.Dhenkanal.delta7.vaccinated1,18302
OR.districts.Dhenkanal.delta7.vaccinated2,23327
OR.districts.Dhenkanal.meta.population,1192948
OR.districts.Dhenkanal.meta.tested.date,2021-01-31
OR.districts.Dhenkanal.total.confirmed,19871
OR.districts.Dhenkanal.total.deceased,243
OR.districts.Dhenkanal.total.recovered,19598
OR.districts.Dhenkanal.total.tested,179477
OR.districts.Dhenkanal.total.vaccinated1,738406
OR.districts.Dhenkanal.total.vaccinated2,282859
OR.districts.Gajapati.delta.confirmed,5
OR.districts.Gajapati.delta.vaccinated1,296
OR.districts.Gajapati.delta.vaccinated2,1193
OR.districts.Gajapati.delta21_14.confirmed,11
OR.districts.Gajapati.delta7.confirmed,15
OR.districts.Gajapati.delta7.recovered,11
OR.districts.Gajapati.delta7.vaccinated1,4770
OR.districts.Gajapati.delta7.vaccinated2,10942
OR.districts.Gajapati.meta.population,575880
OR.districts.Gajapati.meta.tested.date,2020-05-17
OR.districts.Gajapati.total.confirmed,9657
OR.districts.Gajapati.total.deceased,84
OR.districts.Gajapati.total.recovered,9555
OR.districts.Gajapati.total.tested,715
OR.districts.Gajapati.total.vaccinated1,288963
OR.districts.Gajapati.total.vaccinated2,115535
OR.districts.Ganjam.delta.confirmed,8
OR.districts.Ganjam.delta.recovered,2
OR.districts.Ganjam.delta.vaccinated1,438
OR.districts.Ganjam.delta.vaccinated2,1848
OR.districts.Ganjam.delta21_14.confirmed,25
OR.districts.Ganjam.delta7.confirmed,22
OR.districts.Ganjam.delta7.recovered,18
OR.districts.Ganjam.delta7.vaccinated1,27002
OR.districts.Ganjam.delta7.vaccinated2,112716
OR.districts.Ganjam.meta.population,3520151
OR.districts.Ganjam.meta.tested.date,2021-01-31
OR.districts.Ganjam.total.confirmed,33849
OR.districts.Ganjam.total.deceased,485
OR.districts.Ganjam.total.recovered,33342
OR.districts.Ganjam.total.tested,750442
OR.districts.Ganjam.total.vaccinated1,2214981
OR.districts.Ganjam.total.vaccinated2,1698328
OR.districts.Jagatsinghpur.delta.confirmed,9
OR.districts.Jagatsinghpur.delta.recovered,12
OR.districts.Jagatsinghpur.delta.vaccinated1,-2
OR.districts.Jagatsinghpur.delta.vaccinated2,2
OR.districts.Jagatsinghpur.delta21_14.confirmed,72
OR.districts.Jagatsinghpur.delta7.confirmed,76
OR.districts.Jagatsinghpur.delta7.deceased,1
OR.districts.Jagatsinghpur.delta7.recovered,78
OR.districts.Jagatsinghpur.delta7.vaccinated1,28276
OR.districts.Jagatsinghpur.delta7.vaccinated2,25051
OR.districts.Jagatsinghpur.meta.population,1136604
OR.districts.Jagatsinghpur.meta.tested.date,2020-09-15
OR.districts.Jagatsinghpur.total.confirmed,27920
OR.districts.Jagatsinghpur.total.deceased,316
OR.districts.Jagatsinghpur.total.recovered,27510
OR.districts.Jagatsinghpur.total.tested,46648
OR.districts.Jagatsinghpur.total.vaccinated1,677675
OR.districts.Jagatsinghpur.total.vaccinated2,272499
OR.districts.Jajpur.delta.confirmed,9
OR.districts.Jajpur.delta.recovered,8
OR.districts.Jajpur.delta.vaccinated1,2
OR.districts.Jajpur.delta.vaccinated2,9
OR.districts.Jajpur.delta21_14.confirmed,76
OR.districts.Jajpur.delta7.confirmed,75
OR.districts.Jajpur.delta7.recovered,73
OR.districts.Jajpur.delta7.vaccinated1,30726
OR.districts.Jajpur.delta7.vaccinated2,37471
OR.districts.Jajpur.meta.population,1826275
OR.districts.Jajpur.meta.tested.date,2020-08-23
OR.districts.Jajpur.total.confirmed,43735
OR.districts.Jajpur.total.deceased,172
OR.districts.Jajpur.total.recovered,43461
OR.districts.Jajpur.total.tested,53956
OR.districts.Jajpur.total.vaccinated1,1087735
OR.districts.Jajpur.total.vaccinated2,383313
OR.districts.Jharsuguda.delta.confirmed,3
OR.districts.Jharsuguda.delta21_14.confirmed,11
OR.districts.Jharsuguda.delta7.confirmed,13
OR.districts.Jharsuguda.delta7.recovered,10
OR.districts.Jharsuguda.delta7.vaccinated1,7187
OR.districts.Jharsuguda.delta7.vaccinated2,14725
OR.districts.Jharsuguda.meta.population,579499
OR.districts.Jharsuguda.meta.tested.date,2020-05-17
OR.districts.Jharsuguda.total.confirmed,23863
OR.districts.Jharsuguda.total.deceased,176
OR.districts.Jharsuguda.total.recovered,23673
OR.districts.Jharsuguda.total.tested,1663
OR.districts.Jharsuguda.total.vaccinated1,399523
OR.districts.Jharsuguda.total.vaccinated2,189682
OR.districts.Kalahandi.delta.confirmed,2
OR.districts.Kalahandi.delta.vaccinated1,1476
OR.districts.Kalahandi.delta.vaccinated2,537
OR.districts.Kalahandi.delta21_14.confirmed,5
OR.districts.Kalahandi.delta7.confirmed,15
OR.districts.Kalahandi.delta7.recovered,1
OR.districts.Kalahandi.delta7.vaccinated1,38214
OR.districts.Kalahandi.delta7.vaccinated2,26926
OR.districts.Kalahandi.meta.population,1573054
OR.districts.Kalahandi.meta.tested.date,2020-05-17
OR.districts.Kalahandi.total.confirmed,24314
OR.districts.Kalahandi.total.deceased,210
OR.districts.Kalahandi.total.recovered,24082
OR.districts.Kalahandi.total.tested,1458
OR.districts.Kalahandi.total.vaccinated1,921185
OR.districts.Kalahandi.total.vaccinated2,304778
OR.districts.Kandhamal.delta.vaccinated1,847
OR.districts.Kandhamal.delta.vaccinated2,529
OR.districts.Kandhamal.delta21_14.confirmed,2
OR.districts.Kandhamal.delta7.recovered,5
OR.districts.Kandhamal.delta7.vaccinated1,12881
OR.districts.Kandhamal.delta7.vaccinated2,12319
OR.districts.Kandhamal.meta.population,731952
OR.districts.Kandhamal.meta.tested.date,2020-05-17
OR.districts.Kandhamal.total.confirmed,11537
OR.districts.Kandhamal.total.deceased,83
OR.districts.Kandhamal.total.recovered,11453
OR.districts.Kandhamal.total.tested,1516
OR.districts.Kandhamal.total.vaccinated1,384009
OR.districts.Kandhamal.total.vaccinated2,150737
OR.districts.Kendrapara.delta.confirmed,8
OR.districts.Kendrapara.delta.recovered,8
OR.districts.Kendrapara.delta.vaccinated1,1452
OR.districts.Kendrapara.delta.vaccinated2,1179
OR.districts.Kendrapara.delta21_14.confirmed,88
OR.districts.Kendrapara.delta7.confirmed,62
OR.districts.Kendrapara.delta7.deceased,1
OR.districts.Kendrapara.delta7.recovered,52
OR.districts.Kendrapara.delta7.vaccinated1,28635
OR.districts.Kendrapara.delta7.vaccinated2,34297
OR.districts.Kendrapara.meta.population,1439891
OR.districts.Kendrapara.meta.tested.date,2020-10-19
OR.districts.Kendrapara.total.confirmed,24860
OR.districts.Kendrapara.total.deceased,252
OR.districts.Kendrapara.total.recovered,24545
OR.districts.Kendrapara.total.tested,382732
OR.districts.Kendrapara.total.vaccinated1,916169
OR.districts.Kendrapara.total.vaccinated2,347854
OR.districts.Kendujhar.delta.confirmed,1
OR.districts.Kendujhar.delta.recovered,2
OR.districts.Kendujhar.delta.vaccinated1,483
OR.districts.Kendujhar.delta.vaccinated2,613
OR.districts.Kendujhar.delta21_14.confirmed,20
OR.districts.Kendujhar.delta7.confirmed,4
OR.districts.Kendujhar.delta7.deceased,2
OR.districts.Kendujhar.delta7.recovered,3
OR.districts.Kendujhar.delta7.vaccinated1,25529
OR.districts.Kendujhar.delta7.vaccinated2,46488
OR.districts.Kendujhar.meta.population,1802777
OR.districts.Kendujhar.meta.tested.date,2021-02-01
OR.districts.Kendujhar.total.confirmed,20980
OR.districts.Kendujhar.total.deceased,175
OR.districts.Kendujhar.total.recovered,20798
OR.districts.Kendujhar.total.tested,474504
OR.districts.Kendujhar.total.vaccinated1,1087285
OR.districts.Kendujhar.total.vaccinated2,376311
OR.districts.Khordha.delta.confirmed,250
OR.districts.Khordha.delta.deceased,2
OR.districts.Khordha.delta.recovered,243
OR.districts.Khordha.delta.vaccinated1,568
OR.districts.Khordha.delta.vaccinated2,1482
OR.districts.Khordha.delta21_14.confirmed,1704
OR.districts.Khordha.delta7.confirmed,1492
OR.districts.Khordha.delta7.deceased,8
OR.districts.Khordha.delta7.recovered,1654
OR.districts.Khordha.delta7.vaccinated1,34733
OR.districts.Khordha.delta7.vaccinated2,49859
OR.districts.Khordha.meta.population,2246341
OR.districts.Khordha.total.confirmed,175335
OR.districts.Khordha.total.deceased,1552
OR.districts.Khordha.total.recovered,171938
OR.districts.Khordha.total.vaccinated1,2063646
OR.districts.Khordha.total.vaccinated2,1502538
OR.districts.Koraput.delta.confirmed,1
OR.districts.Koraput.delta.recovered,2
OR.districts.Koraput.delta.vaccinated1,935
OR.districts.Koraput.delta.vaccinated2,2024
OR.districts.Koraput.delta21_14.confirmed,23
OR.districts.Koraput.delta7.confirmed,11
OR.districts.Koraput.delta7.recovered,20
OR.districts.Koraput.delta7.vaccinated1,13011
OR.districts.Koraput.delta7.vaccinated2,35701
OR.districts.Koraput.meta.population,1376934
OR.districts.Koraput.meta.tested.date,2020-05-17
OR.districts.Koraput.total.confirmed,19137
OR.districts.Koraput.total.deceased,78
OR.districts.Koraput.total.recovered,19044
OR.districts.Koraput.total.tested,1401
OR.districts.Koraput.total.vaccinated1,860773
OR.districts.Koraput.total.vaccinated2,399063
OR.districts.Malkangiri.delta.recovered,3
OR.districts.Malkangiri.delta.vaccinated1,2497
OR.districts.Malkangiri.delta.vaccinated2,2000
OR.districts.Malkangiri.delta21_14.confirmed,2
OR.districts.Malkangiri.delta7.confirmed,2
OR.districts.Malkangiri.delta7.recovered,4
OR.districts.Malkangiri.delta7.vaccinated1,13449
OR.districts.Malkangiri.delta7.vaccinated2,16141
OR.districts.Malkangiri.meta.population,612727
OR.districts.Malkangiri.meta.tested.date,2020-05-17
OR.districts.Malkangiri.total.confirmed,11667
OR.districts.Malkangiri.total.deceased,49
OR.districts.Malkangiri.total.recovered,11613
OR.districts.Malkangiri.total.tested,1841
OR.districts.Malkangiri.total.vaccinated1,391790
OR.districts.Malkangiri.total.vaccinated2,137925
OR.districts.Mayurbhanj.delta.confirmed,19
OR.districts.Mayurbhanj.delta.deceased,1
OR.districts.Mayurbhanj.delta.recovered,8
OR.districts.Mayurbhanj.delta.vaccinated1,2985
OR.districts.Mayurbhanj.delta.vaccinated2,654
OR.districts.Mayurbhanj.delta21_14.confirmed,129
OR.districts.Mayurbhanj.delta7.confirmed,126
OR.districts.Mayurbhanj.delta7.deceased,5
OR.districts.Mayurbhanj.delta7.recovered,93
OR.districts.Mayurbhanj.delta7.vaccinated1,86170
OR.districts.Mayurbhanj.delta7.vaccinated2,36315
OR.districts.Mayurbhanj.meta.population,2513895
OR.districts.Mayurbhanj.meta.tested.date,2020-05-17
OR.districts.Mayurbhanj.total.confirmed,40844
OR.districts.Mayurbhanj.total.deceased,286
OR.districts.Mayurbhanj.total.recovered,40416
OR.districts.Mayurbhanj.total.tested,3307
OR.districts.Mayurbhanj.total.vaccinated1,1222153
OR.districts.Mayurbhanj.total.vaccinated2,413698
OR.districts.Nabarangapur.delta21_14.confirmed,6
OR.districts.Nabarangapur.delta7.confirmed,1
OR.districts.Nabarangapur.delta7.recovered,2
OR.districts.Nabarangapur.delta7.vaccinated1,13213
OR.districts.Nabarangapur.delta7.vaccinated2,18025
OR.districts.Nabarangapur.meta.population,1218762
OR.districts.Nabarangapur.meta.tested.date,2021-01-25
OR.districts.Nabarangapur.total.confirmed,23549
OR.districts.Nabarangapur.total.deceased,86
OR.districts.Nabarangapur.total.recovered,23461
OR.districts.Nabarangapur.total.tested,162154
OR.districts.Nabarangapur.total.vaccinated1,675601
OR.districts.Nabarangapur.total.vaccinated2,188457
OR.districts.Nayagarh.delta.confirmed,2
OR.districts.Nayagarh.delta.recovered,3
OR.districts.Nayagarh.delta.vaccinated1,29
OR.districts.Nayagarh.delta.vaccinated2,117
OR.districts.Nayagarh.delta21_14.confirmed,33
OR.districts.Nayagarh.delta7.confirmed,28
OR.districts.Nayagarh.delta7.deceased,1
OR.districts.Nayagarh.delta7.recovered,24
OR.districts.Nayagarh.delta7.vaccinated1,7145
OR.districts.Nayagarh.delta7.vaccinated2,22575
OR.districts.Nayagarh.meta.population,962215
OR.districts.Nayagarh.meta.tested.date,2020-05-17
OR.districts.Nayagarh.total.confirmed,23505
OR.districts.Nayagarh.total.deceased,212
OR.districts.Nayagarh.total.recovered,23261
OR.districts.Nayagarh.total.tested,1104
OR.districts.Nayagarh.total.vaccinated1,593612
OR.districts.Nayagarh.total.vaccinated2,222606
OR.districts.Nuapada.delta.confirmed,1
OR.districts.Nuapada.delta.recovered,3
OR.districts.Nuapada.delta.vaccinated1,6
OR.districts.Nuapada.delta.vaccinated2,58
OR.districts.Nuapada.delta21_14.confirmed,11
OR.districts.Nuapada.delta7.confirmed,36
OR.districts.Nuapada.delta7.recovered,5
OR.districts.Nuapada.delta7.vaccinated1,3391
OR.districts.Nuapada.delta7.vaccinated2,14721
OR.districts.Nuapada.meta.population,606490
OR.districts.Nuapada.meta.tested.date,2020-05-17
OR.districts.Nuapada.total.confirmed,22924
OR.districts.Nuapada.total.deceased,84
OR.districts.Nuapada.total.recovered,22803
OR.districts.Nuapada.total.tested,310
OR.districts.Nuapada.total.vaccinated1,402248
OR.districts.Nuapada.total.vaccinated2,129685
OR.districts.Puri.delta.confirmed,15
OR.districts.Puri.delta.deceased,1
OR.districts.Puri.delta.recovered,7
OR.districts.Puri.delta.vaccinated1,2991
OR.districts.Puri.delta.vaccinated2,6548
OR.districts.Puri.delta21_14.confirmed,91
OR.districts.Puri.delta7.confirmed,68
OR.districts.Puri.delta7.deceased,1
OR.districts.Puri.delta7.recovered,69
OR.districts.Puri.delta7.vaccinated1,25187
OR.districts.Puri.delta7.vaccinated2,40854
OR.districts.Puri.meta.population,1697983
OR.districts.Puri.meta.tested.date,2020-12-01
OR.districts.Puri.total.confirmed,45431
OR.districts.Puri.total.deceased,459
OR.districts.Puri.total.recovered,44903
OR.districts.Puri.total.tested,173340
OR.districts.Puri.total.vaccinated1,1078666
OR.districts.Puri.total.vaccinated2,523160
OR.districts.Rayagada.delta.confirmed,6
OR.districts.Rayagada.delta.recovered,3
OR.districts.Rayagada.delta.vaccinated1,537
OR.districts.Rayagada.delta.vaccinated2,2019
OR.districts.Rayagada.delta21_14.confirmed,14
OR.districts.Rayagada.delta7.confirmed,18
OR.districts.Rayagada.delta7.recovered,16
OR.districts.Rayagada.delta7.vaccinated1,5781
OR.districts.Rayagada.delta7.vaccinated2,16558
OR.districts.Rayagada.meta.population,961959
OR.districts.Rayagada.meta.tested.date,2020-05-17
OR.districts.Rayagada.total.confirmed,20224
OR.districts.Rayagada.total.deceased,167
OR.districts.Rayagada.total.recovered,19981
OR.districts.Rayagada.total.tested,578
OR.districts.Rayagada.total.vaccinated1,549767
OR.districts.Rayagada.total.vaccinated2,184420
OR.districts.Sambalpur.delta.confirmed,13
OR.districts.Sambalpur.delta.recovered,24
OR.districts.Sambalpur.delta.vaccinated1,574
OR.districts.Sambalpur.delta.vaccinated2,1479
OR.districts.Sambalpur.delta21_14.confirmed,62
OR.districts.Sambalpur.delta7.confirmed,88
OR.districts.Sambalpur.delta7.recovered,113
OR.districts.Sambalpur.delta7.vaccinated1,8960
OR.districts.Sambalpur.delta7.vaccinated2,31518
OR.districts.Sambalpur.meta.population,1044410
OR.districts.Sambalpur.meta.tested.date,2020-05-17
OR.districts.Sambalpur.total.confirmed,31651
OR.districts.Sambalpur.total.deceased,240
OR.districts.Sambalpur.total.recovered,31315
OR.districts.Sambalpur.total.tested,2007
OR.districts.Sambalpur.total.vaccinated1,768989
OR.districts.Sambalpur.total.vaccinated2,418110
OR.districts.State Pool.delta.confirmed,53
OR.districts.State Pool.delta.recovered,57
OR.districts.State Pool.delta21_14.confirmed,407
OR.districts.State Pool.delta7.confirmed,338
OR.districts.State Pool.delta7.recovered,401
OR.districts.State Pool.total.confirmed,32048
OR.districts.State Pool.total.recovered,31587
OR.districts.Subarnapur.delta21_14.confirmed,5
OR.districts.Subarnapur.delta7.confirmed,5
OR.districts.Subarnapur.delta7.recovered,3
OR.districts.Subarnapur.delta7.vaccinated1,8102
OR.districts.Subarnapur.delta7.vaccinated2,31803
OR.districts.Subarnapur.meta.population,652107
OR.districts.Subarnapur.total.confirmed,13187
OR.districts.Subarnapur.total.deceased,61
OR.districts.Subarnapur.total.recovered,13115
OR.districts.Subarnapur.total.vaccinated1,418336
OR.districts.Subarnapur.total.vaccinated2,192102
OR.districts.Sundargarh.delta.confirmed,13
OR.districts.Sundargarh.delta.recovered,8
OR.districts.Sundargarh.delta.vaccinated1,824
OR.districts.Sundargarh.delta.vaccinated2,340
OR.districts.Sundargarh.delta21_14.confirmed,58
OR.districts.Sundargarh.delta7.confirmed,59
OR.districts.Sundargarh.delta7.recovered,71
OR.districts.Sundargarh.delta7.vaccinated1,19935
OR.districts.Sundargarh.delta7.vaccinated2,22587
OR.districts.Sundargarh.meta.population,2080664
OR.districts.Sundargarh.total.confirmed,61841
OR.districts.Sundargarh.total.deceased,594
OR.districts.Sundargarh.total.recovered,61167
OR.districts.Sundargarh.total.vaccinated1,1122762
OR.districts.Sundargarh.total.vaccinated2,490428
OR.meta.date,2021-10-31
OR.meta.last_updated,2021-11-01T09:54:14+05:30
OR.meta.notes,[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count
OR.meta.population,43671000
OR.meta.tested.date,2021-10-31
OR.meta.tested.source,https://t.me/Covid19india_Auxiliary_Test_Data/11880
OR.meta.vaccinated.date,2021-10-31
OR.total.confirmed,1041457
OR.total.deceased,8386
OR.total.recovered,1029147
OR.total.tested,21994343
OR.total.vaccinated1,25736641
OR.total.vaccinated2,11560912
PB.delta.confirmed,26
PB.delta.deceased,1
PB.delta.recovered,25
PB.delta.tested,34152
PB.delta.vaccinated1,3321
PB.delta.vaccinated2,4418
PB.delta21_14.confirmed,159
PB.delta7.confirmed,192
PB.delta7.deceased,8
PB.delta7.recovered,162
PB.delta7.tested,221114
PB.delta7.vaccinated1,200182
PB.delta7.vaccinated2,223256
PB.districts.Amritsar.delta.confirmed,4
PB.districts.Amritsar.delta.recovered,1
PB.districts.Amritsar.delta.vaccinated1,232
PB.districts.Amritsar.delta.vaccinated2,251
PB.districts.Amritsar.delta21_14.confirmed,8
PB.districts.Amritsar.delta7.confirmed,23
PB.districts.Amritsar.delta7.deceased,2
PB.districts.Amritsar.delta7.recovered,9
PB.districts.Amritsar.delta7.vaccinated1,23376
PB.districts.Amritsar.delta7.vaccinated2,18084
PB.districts.Amritsar.meta.population,2490891
PB.districts.Amritsar.meta.tested.date,2020-09-02
PB.districts.Amritsar.total.confirmed,47379
PB.districts.Amritsar.total.deceased,1598
PB.districts.Amritsar.total.recovered,45757
PB.districts.Amritsar.total.tested,89227
PB.districts.Amritsar.total.vaccinated1,1263073
PB.districts.Amritsar.total.vaccinated2,446487
PB.districts.Barnala.delta.vaccinated1,629
PB.districts.Barnala.delta.vaccinated2,291
PB.districts.Barnala.delta21_14.confirmed,2
PB.districts.Barnala.delta7.confirmed,2
PB.districts.Barnala.delta7.vaccinated1,9552
PB.districts.Barnala.delta7.vaccinated2,5253
PB.districts.Barnala.meta.population,596294
PB.districts.Barnala.meta.tested.date,2020-12-20
PB.districts.Barnala.total.confirmed,5950
PB.districts.Barnala.total.deceased,244
PB.districts.Barnala.total.recovered,5696
PB.districts.Barnala.total.tested,63447
PB.districts.Barnala.total.vaccinated1,328464
PB.districts.Barnala.total.vaccinated2,104197
PB.districts.Bathinda.delta.confirmed,1
PB.districts.Bathinda.delta.vaccinated1,110
PB.districts.Bathinda.delta.vaccinated2,182
PB.districts.Bathinda.delta21_14.confirmed,10
PB.districts.Bathinda.delta7.confirmed,15
PB.districts.Bathinda.delta7.recovered,8
PB.districts.Bathinda.delta7.vaccinated1,8246
PB.districts.Bathinda.delta7.vaccinated2,6940
PB.districts.Bathinda.meta.population,1388859
PB.districts.Bathinda.meta.tested.date,2020-12-20
PB.districts.Bathinda.total.confirmed,41728
PB.districts.Bathinda.total.deceased,1042
PB.districts.Bathinda.total.recovered,40668
PB.districts.Bathinda.total.tested,118489
PB.districts.Bathinda.total.vaccinated1,623604
PB.districts.Bathinda.total.vaccinated2,202311
PB.districts.Faridkot.delta.confirmed,1
PB.districts.Faridkot.delta.recovered,1
PB.districts.Faridkot.delta.vaccinated1,154
PB.districts.Faridkot.delta.vaccinated2,241
PB.districts.Faridkot.delta21_14.confirmed,7
PB.districts.Faridkot.delta7.confirmed,7
PB.districts.Faridkot.delta7.recovered,7
PB.districts.Faridkot.delta7.vaccinated1,3048
PB.districts.Faridkot.delta7.vaccinated2,4201
PB.districts.Faridkot.meta.population,618008
PB.districts.Faridkot.meta.tested.date,2020-09-02
PB.districts.Faridkot.total.confirmed,13927
PB.districts.Faridkot.total.deceased,315
PB.districts.Faridkot.total.recovered,13602
PB.districts.Faridkot.total.tested,23635
PB.districts.Faridkot.total.vaccinated1,330654
PB.districts.Faridkot.total.vaccinated2,128653
PB.districts.Fatehgarh Sahib.delta.vaccinated1,9
PB.districts.Fatehgarh Sahib.delta.vaccinated2,17
PB.districts.Fatehgarh Sahib.delta21_14.confirmed,2
PB.districts.Fatehgarh Sahib.delta7.confirmed,2
PB.districts.Fatehgarh Sahib.delta7.deceased,1
PB.districts.Fatehgarh Sahib.delta7.recovered,1
PB.districts.Fatehgarh Sahib.delta7.vaccinated1,2513
PB.districts.Fatehgarh Sahib.delta7.vaccinated2,4804
PB.districts.Fatehgarh Sahib.meta.population,599814
PB.districts.Fatehgarh Sahib.meta.tested.date,2020-12-20
PB.districts.Fatehgarh Sahib.total.confirmed,8876
PB.districts.Fatehgarh Sahib.total.deceased,335
PB.districts.Fatehgarh Sahib.total.recovered,8538
PB.districts.Fatehgarh Sahib.total.tested,68436
PB.districts.Fatehgarh Sahib.total.vaccinated1,354921
PB.districts.Fatehgarh Sahib.total.vaccinated2,135247
PB.districts.Fazilka.delta.confirmed,1
PB.districts.Fazilka.delta.recovered,1
PB.districts.Fazilka.delta.vaccinated1,249
PB.districts.Fazilka.delta.vaccinated2,177
PB.districts.Fazilka.delta21_14.confirmed,6
PB.districts.Fazilka.delta7.confirmed,8
PB.districts.Fazilka.delta7.recovered,4
PB.districts.Fazilka.delta7.vaccinated1,8408
PB.districts.Fazilka.delta7.vaccinated2,5707
PB.districts.Fazilka.meta.population,1180483
PB.districts.Fazilka.meta.tested.date,2020-12-10
PB.districts.Fazilka.total.confirmed,20271
PB.districts.Fazilka.total.deceased,528
